Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Issah Abbas\2590ddf7,gh GHA,DFFW,Mainz 05,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
2,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,34,1986,13.6,5,1,1,9,6,1,8,15,13,0,0,0,176,39,26,60.0
3,Amir Abrashi\1c08a3c8,al ALB,MFDF,Freiburg,30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
4,Ragnar Ache\dc38e3bc,de GER,FWDF,Eint Frankfurt,22,1998,1.1,1,0,0,5,1,1,0,0,0,0,0,0,7,13,4,76.5
5,Tyler Adams\2b09d998,us USA,DFMF,RB Leipzig,21,1999,20.6,3,0,0,31,32,2,12,31,31,0,0,0,227,25,19,56.8
6,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,27,1993,5.3,2,0,0,8,11,3,6,7,5,0,0,0,29,9,16,36.0
7,Felix Agu\cb6d81b3,de GER,DFFW,Werder Bremen,20,1999,7.8,0,0,0,7,28,1,10,21,16,0,0,0,65,12,14,46.2
8,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,18,2002,2.8,2,1,0,6,9,0,1,4,1,0,1,0,22,1,2,33.3
9,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,25,1995,26.1,4,0,0,24,17,0,0,38,30,1,1,0,242,52,38,57.8
10,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,25,1995,13.2,1,0,0,16,15,0,7,10,12,0,0,0,108,23,21,52.3
11,David Alaba\05439de2,at AUT,DFMF,Bayern Munich,28,1992,29.7,4,0,0,22,10,0,29,36,30,0,0,0,320,24,26,48.0
12,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,27,1992,13.8,2,0,0,17,17,12,0,3,6,0,0,0,50,34,76,30.9
13,Omar Alderete\bb08bce9,py PAR,DF,Hertha BSC,23,1996,14.4,2,0,0,27,6,0,2,14,13,0,0,0,132,35,27,56.5
