Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Sat,2020-09-12,16:00 (07:00),Eibar,0.4,0–0,0.9,Celta Vigo,0,Estadio Municipal de Ipurúa,Valentín Pizarro
1,Sat,2020-09-12,18:30 (09:30),Granada,0.3,2–0,0.9,Athletic Club,0,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz
1,Sat,2020-09-12,21:00 (12:00),Cádiz,1.1,0–2,0.9,Osasuna,0,Estadio Nuevo Mirandilla,Isidro Díaz de Mera
1,Sun,2020-09-13,14:00 (05:00),Alavés,1.0,0–1,0.6,Betis,0,Estadio de Mendizorroza,Pablo González
1,Sun,2020-09-13,16:00 (07:00),Valladolid,0.6,1–1,0.2,Real Sociedad,0,Estadio Municipal José Zorrilla,Mario Melero
1,Sun,2020-09-13,18:30 (09:30),Villarreal,2.1,1–1,0.5,Huesca,0,Estadio de la Cerámica,Javier Estrada
1,Sun,2020-09-13,21:00 (12:00),Valencia,1.8,4–2,2.0,Levante,0,Estadio de Mestalla,José Sánchez
2,Sat,2020-09-19,16:00 (07:00),Villarreal,2.2,2–1,1.1,Eibar,0,Estadio de la Cerámica,Jorge Figueroa
2,Sat,2020-09-19,18:30 (09:30),Getafe,0.4,1–0,0.4,Osasuna,0,Coliseum Alfonso Pérez,Alejandro Hernández
2,Sat,2020-09-19,21:00 (12:00),Celta Vigo,2.3,2–1,0.5,Valencia,0,Estadio de Balaídos,Jesús Gil
2,Sun,2020-09-20,16:00 (07:00),Huesca,0.2,0–2,1.3,Cádiz,0,Estadio El Alcoraz,César Soto
2,Sun,2020-09-20,18:30 (09:30),Granada,2.0,2–1,0.6,Alavés,0,Estadio Nuevo Los Cármenes,Carlos del Cerro
2,Sun,2020-09-20,18:30 (09:30),Betis,1.4,2–0,0.5,Valladolid,0,Estadio Benito Villamarín,Santiago Jaime
2,Sun,2020-09-20,21:00 (12:00),Real Sociedad,0.5,0–0,0.8,Real Madrid,0,Estadio Municipal de Anoeta,Juan Martínez
3,Sat,2020-09-26,13:00 (04:00),Alavés,1.4,0–0,0.8,Getafe,0,Estadio de Mendizorroza,Alberola Rojas
3,Sat,2020-09-26,16:00 (07:00),Valencia,0.2,1–1,1.5,Huesca,0,Estadio de Mestalla,José Luis Munuera
3,Sat,2020-09-26,18:30 (09:30),Elche,1.3,0–3,3.0,Real Sociedad,0,Estadio Manuel Martínez Valero,Isidro Díaz de Mera
3,Sat,2020-09-26,21:00 (12:00),Betis,1.1,2–3,3.6,Real Madrid,0,Estadio Benito Villamarín,Ricardo de Burgos
3,Sun,2020-09-27,12:00 (03:00),Osasuna,0.6,1–3,2.8,Levante,0,Estadio El Sadar,Mario Melero
3,Sun,2020-09-27,14:00 (05:00),Eibar,0.5,1–2,0.7,Athletic Club,0,Estadio Municipal de Ipurúa,Adrián Cordero
3,Sun,2020-09-27,16:00 (07:00),Atlético Madrid,3.1,6–1,0.9,Granada,0,Estadio Wanda Metropolitano,Javier Estrada
3,Sun,2020-09-27,18:30 (09:30),Cádiz,1.1,1–3,2.7,Sevilla,0,Estadio Nuevo Mirandilla,David Medié
3,Sun,2020-09-27,18:30 (09:30),Valladolid,1.5,1–1,1.2,Celta Vigo,0,Estadio Municipal José Zorrilla,José Sánchez
3,Sun,2020-09-27,21:00 (12:00),Barcelona,2.6,4–0,0.2,Villarreal,0,Camp Nou,Guillermo Cuadra
4,Tue,2020-09-29,19:00 (10:00),Real Sociedad,0.7,0–1,1.0,Valencia,0,Estadio Municipal de Anoeta,Jorge Figueroa
4,Tue,2020-09-29,21:30 (12:30),Getafe,0.7,3–0,0.5,Betis,0,Coliseum Alfonso Pérez,Juan Martínez
4,Wed,2020-09-30,19:00 (10:00),Villarreal,2.3,3–1,1.5,Alavés,0,Estadio de la Cerámica,David Medié
4,Wed,2020-09-30,19:00 (10:00),Huesca,0.7,0–0,1.3,Atlético Madrid,0,Estadio El Alcoraz,Adrián Cordero
4,Wed,2020-09-30,21:30 (12:30),Eibar,1.1,0–1,0.7,Elche,0,Estadio Municipal de Ipurúa,Santiago Jaime
4,Wed,2020-09-30,21:30 (12:30),Real Madrid,2.2,1–0,0.6,Valladolid,0,Estadio Alfredo Di Stéfano,César Soto
4,Thu,2020-10-01,19:00 (10:00),Sevilla,1.0,1–0,0.3,Levante,0,Estadio Ramón Sánchez Pizjuán,Javier Estrada
4,Thu,2020-10-01,19:00 (10:00),Athletic Club,0.6,0–1,0.2,Cádiz,0,San Mamés,Pablo González
4,Thu,2020-10-01,21:30 (12:30),Celta Vigo,0.5,0–3,0.7,Barcelona,0,Estadio de Balaídos,Carlos del Cerro
5,Sat,2020-10-03,13:00 (04:00),Valladolid,1.2,1–2,1.3,Eibar,0,Estadio Municipal José Zorrilla,Isidro Díaz de Mera
5,Sat,2020-10-03,16:00 (07:00),Atlético Madrid,0.6,0–0,0.3,Villarreal,0,Estadio Wanda Metropolitano,Alejandro Hernández
5,Sat,2020-10-03,18:30 (09:30),Elche,0.3,0–0,2.1,Huesca,0,Estadio Manuel Martínez Valero,Mario Melero
5,Sat,2020-10-03,18:30 (09:30),Real Sociedad,2.6,3–0,0.4,Getafe,0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz
5,Sat,2020-10-03,21:00 (12:00),Valencia,0.3,0–2,1.9,Betis,0,Estadio de Mestalla,Guillermo Cuadra
5,Sun,2020-10-04,12:00 (03:00),Osasuna,1.1,2–0,0.7,Celta Vigo,0,Estadio El Sadar,Ricardo de Burgos
