Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Sabit Abdulai\9f9e1b9c,gh GHA,MF,Getafe,21,1999,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,28,1991,25.9,5,0,0,49,34,2,81,25,47,0,2,0,215,19,31,38.0
3,Bobby Adekanye\3ed84b2c,nl NED,FWMF,Cádiz,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
4,Martin Agirregabiria\355c883a,es ESP,DFMF,Alavés,24,1996,17.3,1,0,0,26,21,1,22,34,16,0,0,0,126,25,24,51.0
5,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,24,1995,14.3,3,0,0,14,13,1,1,16,17,0,0,0,153,49,42,53.8
6,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,27,1993,9.6,3,1,1,8,5,0,16,13,13,0,0,0,80,17,6,73.9
7,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,22,1997,4.2,5,1,1,13,3,0,2,6,8,0,0,0,37,8,8,50.0
8,Jony Álamo\788be7f9,es ESP,MF,Elche,18,2001,0.8,0,0,0,0,3,0,0,0,1,0,0,0,7,0,1,0.0
9,Jordi Alba\4601e194,es ESP,DF,Barcelona,31,1989,33.6,9,0,0,22,16,10,113,43,24,0,0,1,295,7,14,33.3
10,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,34,1985,34.6,7,0,0,16,18,1,3,23,21,0,1,0,306,65,47,58.0
11,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,26,1993,17.2,0,0,0,7,11,18,6,7,4,0,0,0,43,9,47,16.1
12,Pedro Alcalá\ba71d071,es ESP,DF,Cádiz,31,1989,10.1,2,0,0,14,5,1,0,22,7,0,0,1,55,19,17,52.8
13,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,29,1991,24.1,10,0,0,53,51,0,6,29,37,0,0,0,287,55,55,50.0
14,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,25,1995,9.2,5,0,0,30,27,5,46,2,15,0,0,0,59,16,9,64.0
15,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,22,1998,15.2,1,0,0,21,31,0,24,7,10,0,0,0,118,13,37,26.0
16,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0
17,Alfon\1c772b46,es ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
18,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,28,1992,17.4,3,0,0,44,15,0,6,13,23,0,0,0,222,42,46,47.7
19,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,25,1995,21.6,6,0,0,24,18,1,2,39,19,0,0,0,212,76,44,63.3
20,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
21,Jon Ander Garrido\c46736ab,es ESP,MF,Cádiz,30,1989,8.9,1,0,0,19,11,0,2,9,15,1,0,0,86,21,32,39.6
22,Ángel\b1e5bbec,es ESP,GK,Granada,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
23,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Valladolid,22,1998,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8
