Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,2021-08-06,21:00 (12:00),Monaco,2.0,1–1,0.3,Nantes,7500,Stade Louis II.,Antony Gautier
1,Sat,2021-08-07,17:00 (08:00),Lyon,1.4,1–1,0.8,Brest,29018,Groupama Stadium,Mikael Lesage
1,Sat,2021-08-07,21:00 (12:00),Troyes,0.8,1–2,1.2,Paris S-G,15248,Stade de l'Aube,Amaury Delerue
1,Sun,2021-08-08,13:00 (04:00),Rennes,0.6,1–1,2.0,Lens,22567,Roazhon Park,Bastien Dechepy
1,Sun,2021-08-08,15:00 (06:00),Strasbourg,0.4,0–2,0.9,Angers,23250,Stade de la Meinau,Jeremy Stinat
1,Sun,2021-08-08,15:00 (06:00),Saint-Étienne,2.1,1–1,1.3,Lorient,20461,Stade Geoffroy-Guichard,Thomas Léonard
1,Sun,2021-08-08,15:00 (06:00),Nice,0.8,0–0,0.2,Reims,18030,Stade de Nice,Johan Hamel
1,Sun,2021-08-08,15:00 (06:00),Bordeaux,0.7,0–2,3.3,Clermont Foot,18748,Stade Matmut-Atlantique,Florent Batta
1,Sun,2021-08-08,17:00 (08:00),Metz,0.7,3–3,1.4,Lille,15551,Stade Saint-Symphorien,Eric Wattellier
1,Sun,2021-08-08,20:45 (11:45),Montpellier,0.5,2–3,2.0,Marseille,13500,Stade de la Mosson,Jérémie Pignard
2,Fri,2021-08-13,21:00 (12:00),Lorient,0.8,1–0,0.9,Monaco,12149,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem
2,Sat,2021-08-14,17:00 (08:00),Lille,1.0,0–4,2.2,Nice,30144,Stade Pierre-Mauroy,Jérôme Brisard
2,Sat,2021-08-14,21:00 (12:00),Paris S-G,2.5,4–2,0.6,Strasbourg,46962,Parc des Princes,Willy Delajod
2,Sun,2021-08-15,13:00 (04:00),Angers,1.4,3–0,0.9,Lyon,6154,Stade Raymond Kopa,Clément Turpin
2,Sun,2021-08-15,15:00 (06:00),Clermont Foot,2.3,2–0,0.5,Troyes,11005,Stade Gabriel Montpied,Romain Lissorgue
2,Sun,2021-08-15,15:00 (06:00),Nantes,1.4,2–0,1.1,Metz,12054,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel
2,Sun,2021-08-15,15:00 (06:00),Brest,1.5,1–1,0.9,Rennes,14271,Stade Francis-Le Blé,Benoît Bastien
2,Sun,2021-08-15,15:00 (06:00),Reims,2.1,3–3,2.0,Montpellier,8887,Stade Auguste-Delaune II,Jeremy Stinat
2,Sun,2021-08-15,17:00 (08:00),Lens,1.8,2–2,1.2,Saint-Étienne,35541,Stade Bollaert-Delelis,Amaury Delerue
2,Sun,2021-08-15,20:45 (11:45),Marseille,1.1,2–2,0.4,Bordeaux,50000,Orange Vélodrome,Ruddy Buquet
3,Fri,2021-08-20,21:00 (12:00),Brest,1.2,2–4,1.4,Paris S-G,14586,Stade Francis-Le Blé,Eric Wattellier
