Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-069,1987,17.0,3,0,0,20,17,0,1,60,25,0,0,0,113,35,26,57.4
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-255,2000,14.7,5,1,1,25,20,0,4,28,23,0,0,0,107,10,12,45.5
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,28-308,1993,16.0,5,0,0,21,34,0,10,36,30,0,0,0,147,4,7,36.4
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-238,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100.0
5,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,18-253,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0.0
6,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-130,2000,12.6,2,0,0,9,21,2,20,21,12,0,0,0,79,7,10,41.2
7,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,19-300,2002,8.2,2,0,0,15,7,0,2,23,13,0,0,0,71,8,11,42.1
8,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-251,1996,16.9,1,0,0,8,5,1,1,26,9,0,1,0,127,65,21,75.6
9,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-224,1993,11.1,1,0,0,15,17,1,21,28,25,0,0,1,106,17,14,54.8
10,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-261,1994,4.7,0,0,0,11,6,0,1,11,4,0,0,0,42,4,2,66.7
11,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-284,1994,13.9,3,1,0,20,19,4,9,7,11,1,0,1,61,70,45,60.9
12,Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,19-284,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-130,1998,1.7,1,0,0,5,8,0,1,6,5,0,0,0,15,1,1,50.0
14,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,17-321,2004,12.2,2,0,0,18,30,10,17,8,6,0,0,0,49,6,38,13.6
15,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-282,1995,9.9,1,0,0,12,27,1,16,8,9,0,0,0,50,7,15,31.8
16,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-272,1994,1.4,0,0,0,3,1,0,2,1,3,0,0,0,4,3,2,60.0
17,Benjamin André\ef9c1c95,fr FRA,MF,Lille,31-125,1990,15.4,4,0,0,40,36,1,6,45,38,0,1,0,178,59,37,61.5
18,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,23-159,1998,14.2,0,0,0,15,27,0,5,17,14,0,0,0,88,5,11,31.3
19,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,19-144,2002,5.6,2,0,0,5,6,2,9,9,5,0,0,0,37,7,6,53.8
20,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,29-180,1992,9.7,1,0,0,17,1,1,15,17,15,0,0,1,66,12,16,42.9
21,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,21-167,2000,3.0,0,0,0,6,6,1,6,3,3,0,0,0,30,3,3,50.0
22,Youcef Atal\6a827d8e,dz ALG,DF,Nice,25-203,1996,8.4,4,0,0,14,17,3,36,22,15,1,1,0,82,22,8,73.3
23,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,31-323,1990,4.3,2,0,0,12,3,0,0,2,6,0,0,0,21,8,6,57.1
24,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-239,2000,6.9,3,1,1,5,1,0,2,7,3,0,0,0,48,17,7,70.8
25,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-255,2001,8.1,3,0,0,12,5,1,0,24,12,0,1,0,91,17,9,65.4
26,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,19-351,2001,1.4,0,0,0,2,0,1,1,0,0,0,0,0,5,7,6,53.8
27,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-192,1992,4.9,0,0,0,10,4,1,3,1,2,0,0,0,9,5,12,29.4
28,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-157,1993,1.0,0,0,0,3,1,0,0,1,2,0,0,0,4,3,1,75.0
29,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,19-348,2001,4.2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,
30,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,18-323,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
31,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,22-314,1999,8.5,4,1,0,9,6,0,0,27,6,0,0,0,90,20,11,64.5
32,Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,Lille,25-255,1996,9.6,1,0,0,4,24,5,18,14,9,0,0,0,70,5,9,35.7
33,Simon Banza\be47b750,fr FRA,FW,Lens,25-115,1996,1.4,0,0,0,3,8,0,0,0,2,0,0,0,6,6,3,66.7
34,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-030,2000,14.8,2,0,0,11,16,1,29,39,21,0,0,0,142,15,19,44.1
35,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-011,1996,2.3,0,0,0,6,2,0,7,3,3,0,0,0,13,0,1,0.0
36,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-009,1997,1.0,0,0,0,0,3,0,2,1,1,0,0,0,4,0,3,0.0
37,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-185,1998,13.8,0,0,0,13,3,7,4,4,5,0,0,0,39,22,35,38.6
38,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,27-312,1994,12.1,0,0,0,13,18,0,6,24,13,0,0,0,100,13,5,72.2
39,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-162,1998,11.6,2,0,0,16,34,0,14,13,25,0,0,0,105,11,11,50.0
40,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-116,1990,11.2,1,0,0,12,12,7,5,3,6,0,0,0,41,10,36,21.7
41,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-203,1990,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,66.7
42,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-262,1993,17.0,0,0,0,0,2,0,0,0,0,0,0,0,84,0,0,
43,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,29-333,1992,0.7,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,
44,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-101,1999,5.1,1,0,0,4,1,4,9,2,2,0,0,0,33,1,6,14.3
45,Valon Berisha\d5575935,xk KVX,MFFW,Reims,28-302,1993,3.8,2,1,1,12,3,2,7,6,6,0,0,0,32,3,3,50.0
46,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-232,1997,12.0,0,0,0,0,2,0,0,0,0,0,0,0,56,0,0,
47,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-280,1993,4.6,1,0,0,2,4,1,7,3,8,0,0,0,22,1,2,33.3
48,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-183,1998,5.0,0,0,0,0,2,0,0,0,0,0,0,1,17,0,0,
49,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,31-334,1990,11.6,0,0,0,7,9,2,25,4,17,0,0,0,75,7,8,46.7
50,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-250,2000,12.5,4,0,0,17,14,2,47,34,17,0,0,0,116,35,22,61.4
51,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-064,2001,7.7,2,0,0,12,11,4,3,5,8,0,0,0,33,29,45,39.2
52,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,27-343,1993,4.7,1,0,0,5,2,0,1,10,6,0,0,0,38,16,5,76.2
53,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,18-361,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-271,1991,17.0,1,0,0,0,2,0,0,1,0,0,0,0,110,0,0,
55,Ludovic Blas\6191093d,fr FRA,MFFW,Nantes,23-340,1997,15.5,4,0,0,17,28,2,11,21,16,0,0,0,97,13,19,40.6
56,Myron Boadu\5b479568,nl NED,FW,Monaco,20-326,2001,6.9,0,0,0,13,6,6,3,1,5,0,0,0,22,9,17,34.6
57,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-094,1988,9.1,2,0,0,10,0,0,2,14,6,0,0,0,68,10,1,90.9
