Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Paris S-G,17,13,3,1,36,16,+20,42,31.4,17.1,+14.3,+0.84,W W W D D,47514,Kylian Mbappé - 7,Keylor Navas
2,Rennes,17,9,4,4,32,14,+18,31,27.5,18.6,+8.8,+0.52,W W W L W,26069,Martin Terrier - 8,Alfred Gomis
3,Marseille,16,8,5,3,23,14,+9,29,23.7,18.7,+4.9,+0.31,W D W W L,49155,Dimitri Payet - 6,Pau López
4,Nice,17,8,4,5,25,15,+10,28,30.2,18.9,+11.3,+0.66,L W L D L,11655,Amine Gouiri - 8,Walter Benítez
5,Lens,17,7,6,4,30,23,+7,27,28.7,19.8,+8.9,+0.52,W L D D D,27873,Seko Fofana - 5,Jean-Louis Leca
6,Strasbourg,17,7,5,5,34,22,+12,26,26.5,23.2,+3.3,+0.19,D D D W W,23907,Ludovic Ajorque - 9,Matz Sels
7,Monaco,17,7,5,5,27,20,+7,26,24.4,18.4,+6.0,+0.35,D D D W W,5245,Wissam Ben Yedder - 9,Alexander Nübel
8,Angers,17,6,7,4,25,22,+3,25,19.4,20.5,-1.2,-0.07,D W D L W,7518,Sofiane Boufal - 5,Paul Bernardoni
9,Montpellier,17,7,4,6,25,23,+2,25,18.6,23.1,-4.5,-0.28,W L L W W,11044,Téji Savanier Florent Mollet... - 4,Jonas Omlin
10,Brest,17,6,6,5,25,23,+2,24,22.0,23.6,-1.6,-0.09,W W W W W,12263,Romain Faivre - 7,Marco Bizot
11,Lille,17,6,6,5,23,24,-1,24,24.8,17.4,+7.4,+0.44,D D D W W,32634,Jonathan David - 11,Ivo Grbić
12,Lyon,16,6,5,5,25,25,0,23,26.1,25.4,+0.7,+0.05,W L W L D,33012,Lucas Paquetá - 6,Anthony Lopes
13,Nantes,17,6,4,7,21,21,0,22,18.8,21.1,-2.2,-0.13,D L D L W,17639,Ludovic Blas - 7,Alban Lafont
14,Reims,17,4,7,6,19,21,-2,19,14.4,18.2,-3.9,-0.24,D D W W L,10280,Hugo Ekitike - 7,Predrag Rajković
15,Troyes,17,4,4,9,16,25,-9,16,16.3,24.4,-8.2,-0.48,L L L W L,9127,Mama Samba Baldé Xavier Chavalerin - 3,Gauthier Gallon
16,Lorient,17,3,6,8,13,26,-13,15,18.2,26.8,-8.5,-0.50,L L L L L,12624,Armand Lauriente - 4,Paul Nardi
17,Bordeaux,17,2,8,7,26,39,-13,14,17.3,30.4,-13.1,-0.82,L D L L D,22556,Alberth Elis Hwang Ui-jo - 5,Benoît Costil
18,Clermont Foot,17,3,5,9,19,32,-13,14,19.3,21.6,-2.4,-0.15,L L L D L,11555,Mohamed Bayo - 8,Arthur Desmas
19,Metz,17,2,6,9,18,37,-19,12,15.5,26.8,-11.2,-0.66,D D W L L,13707,Fabien Centonze Nicolas de Préville - 4,Alexandre Oukidja
20,Saint-Étienne,17,2,6,9,17,37,-20,12,19.6,28.4,-8.8,-0.52,W W L L L,20381,Wahbi Khazri - 7,Etienne Green
