Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Gennaro Acampora\01040647,it ITA,MFFW,Spezia,26,1994,4.9,2,0,0,11,15,1,7,4,7,0,0,0,49,0,9,0.0
2,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,32,1988,31.3,9,1,1,34,25,2,26,62,38,0,0,0,368,77,26,74.8
3,Andrea Adorante\7005ac66,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
4,Lucien Agoume\8bc8829a,fr FRA,MF,Spezia,18,2002,8.9,2,0,0,18,9,0,0,20,11,0,0,0,104,10,6,62.5
5,Kevin Agudelo\46fa7204,co COL,FW,Spezia,21,1998,15.1,4,0,0,26,33,2,10,5,30,0,0,0,66,20,36,35.7
6,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,27,1992,11.7,9,0,0,34,16,0,1,18,28,0,0,0,93,9,9,50.0
7,Luis Alberto\5294a83f,es ESP,MF,Lazio,27,1992,29.1,5,0,0,26,45,2,37,21,32,0,0,0,257,9,19,32.1
8,Bruno Alves\585a73a8,pt POR,DF,Parma,38,1981,18.1,3,0,0,23,9,1,7,15,6,0,0,0,162,45,7,86.5
9,Wisdom Amey\35b4bc62,it ITA,DF,Bologna,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,23,1996,27.1,7,0,0,65,53,0,10,21,42,0,0,0,256,16,36,30.8
11,Djavan Anderson\ca241ad3,nl NED,DF,Lazio,25,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0
12,Nícolas Andrade\326d09ef,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
13,Davide Angelo Ghislandi\0e0e4422,it ITA,DF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
14,Philip Ankhrah\f5409698,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
15,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,33,1986,21.6,1,0,0,25,25,0,133,27,26,0,1,0,150,7,17,29.2
16,Valentin Antov\8f68aa41,bg BUL,DF,Bologna,19,2000,2.6,1,0,0,3,2,0,0,5,3,0,0,0,13,2,5,28.6
17,Nicolò Armini\2f7407fa,it ITA,DF,Lazio,19,2001,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0
18,Tolgay Arslan\963a328b,de GER,MF,Udinese,29,1990,20.2,9,0,0,42,53,0,9,21,39,0,1,0,189,13,9,59.1
19,Kwadwo Asamoah\089550f5,gh GHA,DFMF,Cagliari,31,1988,2.5,0,0,0,0,4,0,4,5,4,0,0,0,21,2,1,66.7
20,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,19,2001,1.1,2,0,0,4,1,0,1,1,2,0,0,0,5,1,2,33.3
21,Emil Audero\649b01d8,it ITA,GK,Sampdoria,23,1997,37.0,0,0,0,0,6,0,0,0,0,0,0,0,182,0,0,
22,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,25,1994,35.7,2,1,0,14,27,2,118,39,25,0,0,0,314,48,37,56.5
23,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,25,1994,8.8,3,0,0,12,3,0,3,8,11,0,0,0,53,15,16,48.4
24,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,31,1989,26.8,7,0,0,44,41,1,12,92,46,1,0,0,335,18,14,56.3
25,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Napoli,25,1994,21.8,6,1,1,43,59,1,1,28,53,1,0,0,193,44,36,55.0
26,Keita Baldé\509a4ccb,sn SEN,FW,Sampdoria,25,1995,13.3,4,1,0,31,37,4,11,3,7,1,1,0,42,19,44,30.2
27,Botond Balogh\348bafd4,hu HUN,DF,Parma,18,2002,1.8,1,0,0,1,0,0,0,1,3,0,0,0,10,2,3,40.0
28,Mattia Bani\0821331c,it ITA,DF,Genoa,26,1993,10.2,4,0,0,14,7,1,0,18,8,0,0,0,115,40,25,61.5
29,Mattia Bani\0821331c,it ITA,DF,Parma,26,1993,12.7,6,0,0,18,8,0,3,24,11,0,0,0,73,42,21,66.7
